0.5460 	WARNING 	Movie2 stim could not be imported and won't be available
193.0173 	EXP 	RestCrossHair: autoDraw = True
197.0034 	EXP 	New trial (rep=0, index=4): {'RetDur': 0, 'BotBrack': 2, 'StimDur': 2, 'UpBrack': 45, 'ProbeDurITI': 6, 'ProbeDur': 2, 'ProbeStart': 2, 'TrialDur': 4, 'ITI': 4, 'StimSet': 'DGYMKL', 'RetStart': 2, 'ProbeLet': 'wrnfhb', 'TrialITIDur': 8, 'Correct': 'right'}
197.0423 	EXP 	window1: recordFrameIntervals = False
197.0681 	EXP 	TopUpperLine: autoDraw = False
197.0681 	EXP 	BotUpperLine: autoDraw = False
197.0681 	EXP 	TopLowerLine: autoDraw = False
197.0681 	EXP 	BotLowerLine: autoDraw = False
197.0681 	EXP 	RestCrossHair: autoDraw = False
197.0681 	EXP 	TopUpperLine: autoDraw = False
197.0681 	EXP 	UpperText: autoDraw = False
197.0681 	EXP 	UpperBrackets: autoDraw = False
197.0681 	EXP 	BotUpperLine: autoDraw = False
197.0681 	EXP 	TopLowerLine: autoDraw = False
197.0681 	EXP 	LowerText: autoDraw = False
197.0681 	EXP 	LowerBrackets: autoDraw = False
197.0681 	EXP 	BotLowerLine: autoDraw = False
197.0681 	EXP 	TrialCrossHair: autoDraw = False
197.0681 	EXP 	RestCrossHair: autoDraw = False
197.0681 	EXP 	UpperText: text = ' D G Y M K L '
197.0681 	EXP 	UpperBrackets: text = '      {   }  '
197.0681 	EXP 	LowerText: text = ' w r n f h b '
197.0681 	EXP 	LowerBrackets: text = '  { }        '
197.0681 	EXP 	TopUpperLine: autoDraw = True
197.0681 	EXP 	UpperText: autoDraw = True
197.0681 	EXP 	UpperBrackets: autoDraw = True
197.0681 	EXP 	BotUpperLine: autoDraw = True
197.0681 	EXP 	TopLowerLine: autoDraw = True
197.0681 	EXP 	BotLowerLine: autoDraw = True
197.0681 	EXP 	TrialCrossHair: autoDraw = True
197.0684 	EXP 	window1: recordFrameIntervals = False
199.0192 	EXP 	UpperText: autoDraw = False
199.0192 	EXP 	UpperBrackets: autoDraw = False
199.0359 	EXP 	LowerText: autoDraw = True
199.0359 	EXP 	LowerBrackets: autoDraw = True
200.1703 	DATA 	Keypress: right
201.0203 	EXP 	LowerText: autoDraw = False
201.0203 	EXP 	LowerBrackets: autoDraw = False
201.0203 	EXP 	TrialCrossHair: autoDraw = False
201.0369 	EXP 	RestCrossHair: autoDraw = True
205.0065 	EXP 	New trial (rep=0, index=5): {'RetDur': 0, 'BotBrack': 6, 'StimDur': 2, 'UpBrack': 4, 'ProbeDurITI': 6, 'ProbeDur': 2, 'ProbeStart': 2, 'TrialDur': 4, 'ITI': 4, 'StimSet': 'TQNFHX', 'RetStart': 2, 'ProbeLet': 'glkywj', 'TrialITIDur': 8, 'Correct': 'right'}
205.0399 	EXP 	window1: recordFrameIntervals = False
205.0549 	EXP 	TopUpperLine: autoDraw = False
205.0549 	EXP 	BotUpperLine: autoDraw = False
205.0549 	EXP 	TopLowerLine: autoDraw = False
205.0549 	EXP 	BotLowerLine: autoDraw = False
205.0549 	EXP 	RestCrossHair: autoDraw = False
205.0549 	EXP 	TopUpperLine: autoDraw = False
205.0549 	EXP 	UpperText: autoDraw = False
205.0549 	EXP 	UpperBrackets: autoDraw = False
205.0549 	EXP 	BotUpperLine: autoDraw = False
205.0549 	EXP 	TopLowerLine: autoDraw = False
205.0549 	EXP 	LowerText: autoDraw = False
205.0549 	EXP 	LowerBrackets: autoDraw = False
205.0549 	EXP 	BotLowerLine: autoDraw = False
205.0549 	EXP 	TrialCrossHair: autoDraw = False
205.0549 	EXP 	RestCrossHair: autoDraw = False
205.0549 	EXP 	UpperText: text = ' T Q N F H X '
205.0549 	EXP 	UpperBrackets: text = '      { }    '
205.0549 	EXP 	LowerText: text = ' g l k y w j '
205.0549 	EXP 	LowerBrackets: text = '          { }'
205.0549 	EXP 	TopUpperLine: autoDraw = True
205.0549 	EXP 	UpperText: autoDraw = True
205.0549 	EXP 	UpperBrackets: autoDraw = True
205.0549 	EXP 	BotUpperLine: autoDraw = True
205.0549 	EXP 	TopLowerLine: autoDraw = True
205.0549 	EXP 	BotLowerLine: autoDraw = True
205.0549 	EXP 	TrialCrossHair: autoDraw = True
205.0552 	EXP 	window1: recordFrameIntervals = False
207.0223 	EXP 	UpperText: autoDraw = False
207.0223 	EXP 	UpperBrackets: autoDraw = False
207.0390 	EXP 	LowerText: autoDraw = True
207.0390 	EXP 	LowerBrackets: autoDraw = True
208.5239 	DATA 	Keypress: right
209.0230 	EXP 	LowerText: autoDraw = False
209.0230 	EXP 	LowerBrackets: autoDraw = False
209.0230 	EXP 	TrialCrossHair: autoDraw = False
209.0398 	EXP 	RestCrossHair: autoDraw = True
